case,prior,bad_counts,good_counts,h_remaining,stop_value,value,action,action_values,terminal_policy,terminal_status,bellman_residual
1,uniform,"[2, 0, 1]","[1, 0, 0]",0,16.642857142857146,16.642857142857146,STOP,"{""STOP"": 16.642857142857146}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 0]","[1, 0, 1]",0,16.916849816849812,16.916849816849812,STOP,"{""STOP"": 16.916849816849812}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 0]","[1, 0, 0]",1,16.887301587301582,16.887301587301582,STOP,"{""STOP"": 16.887301587301582, ""p1"": 14.887301587301577, ""p2"": 13.88730158730159, ""pf"": -14.112698412698418}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 2, 0]","[0, 0, 0]",0,16.411111111111104,16.411111111111104,STOP,"{""STOP"": 16.411111111111104}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 1, 0]","[0, 1, 0]",0,16.675213675213676,16.675213675213676,STOP,"{""STOP"": 16.675213675213676}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 1, 1]","[0, 0, 0]",0,16.400000000000016,16.400000000000016,STOP,"{""STOP"": 16.400000000000016}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 1, 0]","[0, 0, 1]",0,16.67399267399267,16.67399267399267,STOP,"{""STOP"": 16.67399267399267}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 1, 0]","[0, 0, 0]",1,16.644444444444446,16.644444444444446,STOP,"{""STOP"": 16.644444444444446, ""p1"": 14.644444444444442, ""p2"": 13.644444444444446, ""pf"": -14.355555555555558}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 0]","[0, 2, 0]",0,16.933574879227052,16.933574879227052,STOP,"{""STOP"": 16.933574879227052}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 1]","[0, 1, 0]",0,16.661538461538463,16.661538461538463,STOP,"{""STOP"": 16.661538461538463}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 0]","[0, 1, 1]",0,16.935531135531136,16.935531135531136,STOP,"{""STOP"": 16.935531135531136}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 0]","[0, 1, 0]",1,16.905982905982903,16.905982905982903,STOP,"{""STOP"": 16.905982905982903, ""p1"": 14.90598290598291, ""p2"": 13.905982905982906, ""pf"": -14.094017094017095}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 2]","[0, 0, 0]",0,16.38888888888889,16.38888888888889,STOP,"{""STOP"": 16.38888888888889}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 1]","[0, 0, 1]",0,16.665567765567754,16.665567765567754,STOP,"{""STOP"": 16.665567765567754}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 1]","[0, 0, 0]",1,16.633333333333333,16.633333333333333,STOP,"{""STOP"": 16.633333333333333, ""p1"": 14.633333333333336, ""p2"": 13.633333333333336, ""pf"": -14.366666666666674}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 0]","[0, 0, 2]",0,16.936231884057968,16.936231884057968,STOP,"{""STOP"": 16.936231884057968}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 0]","[0, 0, 1]",1,16.907326007326002,16.907326007326002,STOP,"{""STOP"": 16.907326007326002, ""p1"": 14.907326007326004, ""p2"": 13.907326007326006, ""pf"": -14.092673992673994}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 0]","[0, 0, 0]",2,16.877777777777776,16.877777777777776,STOP,"{""STOP"": 16.877777777777776, ""p1"": 14.877777777777773, ""p2"": 13.877777777777773, ""pf"": -14.122222222222225}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[3, 0, 0]",0,16.970250896057337,16.970250896057337,STOP,"{""STOP"": 16.970250896057337}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 0]","[2, 0, 0]",0,16.728502415458948,16.728502415458948,STOP,"{""STOP"": 16.728502415458948}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[2, 1, 0]",0,16.990040876997398,16.990040876997398,STOP,"{""STOP"": 16.990040876997398}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 1]","[2, 0, 0]",0,16.717391304347828,16.717391304347828,STOP,"{""STOP"": 16.717391304347828}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[2, 0, 1]",0,16.991383978340494,16.991383978340494,STOP,"{""STOP"": 16.991383978340494}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[2, 0, 0]",1,16.961835748792264,16.961835748792264,STOP,"{""STOP"": 16.961835748792264, ""p1"": 14.961835748792259, ""p2"": 13.96183574879227, ""pf"": -14.038164251207737}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 2, 0]","[1, 0, 0]",0,16.48656898656899,16.48656898656899,STOP,"{""STOP"": 16.48656898656899}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 0]","[1, 1, 0]",0,16.750671550671527,16.750671550671527,STOP,"{""STOP"": 16.750671550671527}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 1]","[1, 0, 0]",0,16.475457875457888,16.475457875457888,STOP,"{""STOP"": 16.475457875457888}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 0]","[1, 0, 1]",0,16.749450549450547,16.749450549450547,STOP,"{""STOP"": 16.749450549450547}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 0]","[1, 0, 0]",1,16.71990231990231,16.71990231990231,STOP,"{""STOP"": 16.71990231990231, ""p1"": 14.71990231990233, ""p2"": 13.7199023199023, ""pf"": -14.28009768009768}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[1, 2, 0]",0,17.00903275468492,17.00903275468492,STOP,"{""STOP"": 17.00903275468492}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 1]","[1, 1, 0]",0,16.736996336996334,16.736996336996334,STOP,"{""STOP"": 16.736996336996334}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[1, 1, 1]",0,17.01098901098901,17.01098901098901,STOP,"{""STOP"": 17.01098901098901}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[1, 1, 0]",1,16.98144078144078,16.98144078144078,STOP,"{""STOP"": 16.98144078144078, ""p1"": 14.981440781440782, ""p2"": 13.98144078144077, ""pf"": -14.018559218559218}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 2]","[1, 0, 0]",0,16.464346764346757,16.464346764346757,STOP,"{""STOP"": 16.464346764346757}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 1]","[1, 0, 1]",0,16.741025641025637,16.741025641025637,STOP,"{""STOP"": 16.741025641025637}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 1]","[1, 0, 0]",1,16.70879120879121,16.70879120879121,STOP,"{""STOP"": 16.70879120879121, ""p1"": 14.708791208791212, ""p2"": 13.708791208791206, ""pf"": -14.291208791208794}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[1, 0, 2]",0,17.011689759515836,17.011689759515836,STOP,"{""STOP"": 17.011689759515836}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[1, 0, 1]",1,16.98278388278387,16.98278388278387,STOP,"{""STOP"": 16.98278388278387, ""p1"": 14.982783882783876, ""p2"": 13.982783882783881, ""pf"": -14.017216117216126}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[1, 0, 0]",2,16.95323565323565,16.95323565323565,STOP,"{""STOP"": 16.95323565323565, ""p1"": 14.953235653235646, ""p2"": 13.953235653235652, ""pf"": -14.046764346764359}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 3, 0]","[0, 0, 0]",0,16.244444444444454,16.244444444444454,STOP,"{""STOP"": 16.244444444444454}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 2, 0]","[0, 1, 0]",0,16.51111111111109,16.51111111111109,STOP,"{""STOP"": 16.51111111111109}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 2, 1]","[0, 0, 0]",0,16.23333333333335,16.23333333333335,STOP,"{""STOP"": 16.23333333333335}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 2, 0]","[0, 0, 1]",0,16.50732600732601,16.50732600732601,STOP,"{""STOP"": 16.50732600732601}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 2, 0]","[0, 0, 0]",1,16.47777777777777,16.47777777777777,STOP,"{""STOP"": 16.47777777777777, ""p1"": 14.477777777777781, ""p2"": 13.477777777777762, ""pf"": -14.522222222222219}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 0]","[0, 2, 0]",0,16.771980676328496,16.771980676328496,STOP,"{""STOP"": 16.771980676328496}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 1]","[0, 1, 0]",0,16.497435897435903,16.497435897435903,STOP,"{""STOP"": 16.497435897435903}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 0]","[0, 1, 1]",0,16.771428571428572,16.771428571428572,STOP,"{""STOP"": 16.771428571428572}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 0]","[0, 1, 0]",1,16.741880341880336,16.741880341880336,STOP,"{""STOP"": 16.741880341880336, ""p1"": 14.741880341880321, ""p2"": 13.741880341880334, ""pf"": -14.258119658119659}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 2]","[0, 0, 0]",0,16.222222222222236,16.222222222222236,STOP,"{""STOP"": 16.222222222222236}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 1]","[0, 0, 1]",0,16.498901098901094,16.498901098901094,STOP,"{""STOP"": 16.498901098901094}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 1]","[0, 0, 0]",1,16.466666666666683,16.466666666666683,STOP,"{""STOP"": 16.466666666666683, ""p1"": 14.46666666666668, ""p2"": 13.466666666666674, ""pf"": -14.533333333333335}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 0]","[0, 0, 2]",0,16.76956521739131,16.76956521739131,STOP,"{""STOP"": 16.76956521739131}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 0]","[0, 0, 1]",1,16.74065934065935,16.74065934065935,STOP,"{""STOP"": 16.74065934065935, ""p1"": 14.740659340659338, ""p2"": 13.740659340659343, ""pf"": -14.259340659340653}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 1, 0]","[0, 0, 0]",2,16.711111111111116,16.711111111111116,STOP,"{""STOP"": 16.711111111111116, ""p1"": 14.711111111111103, ""p2"": 13.711111111111105, ""pf"": -14.28888888888888}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[0, 3, 0]",0,17.027240143369177,17.027240143369177,STOP,"{""STOP"": 17.027240143369177}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 1]","[0, 2, 0]",0,16.755797101449268,16.755797101449268,STOP,"{""STOP"": 16.755797101449268}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[0, 2, 1]",0,17.029789775441944,17.029789775441944,STOP,"{""STOP"": 17.029789775441944}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[0, 2, 0]",1,17.00024154589373,17.00024154589373,STOP,"{""STOP"": 17.00024154589373, ""p1"": 15.000241545893713, ""p2"": 14.000241545893722, ""pf"": -13.999758454106287}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 2]","[0, 1, 0]",0,16.48376068376067,16.48376068376067,STOP,"{""STOP"": 16.48376068376067}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 1]","[0, 1, 1]",0,16.760439560439558,16.760439560439558,STOP,"{""STOP"": 16.760439560439558}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 1]","[0, 1, 0]",1,16.72820512820514,16.72820512820514,STOP,"{""STOP"": 16.72820512820514, ""p1"": 14.728205128205126, ""p2"": 13.728205128205122, ""pf"": -14.271794871794873}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[0, 1, 2]",0,17.031103678929778,17.031103678929778,STOP,"{""STOP"": 17.031103678929778}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[0, 1, 1]",1,17.002197802197806,17.002197802197806,STOP,"{""STOP"": 17.002197802197806, ""p1"": 15.002197802197802, ""p2"": 14.002197802197799, ""pf"": -13.997802197802187}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[0, 1, 0]",2,16.97264957264958,16.97264957264958,STOP,"{""STOP"": 16.97264957264958, ""p1"": 14.972649572649573, ""p2"": 13.97264957264958, ""pf"": -14.027350427350424}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 3]","[0, 0, 0]",0,16.211111111111116,16.211111111111116,STOP,"{""STOP"": 16.211111111111116}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 2]","[0, 0, 1]",0,16.4904761904762,16.4904761904762,STOP,"{""STOP"": 16.4904761904762}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 2]","[0, 0, 0]",1,16.455555555555552,16.455555555555552,STOP,"{""STOP"": 16.455555555555552, ""p1"": 14.45555555555555, ""p2"": 13.455555555555545, ""pf"": -14.544444444444435}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 1]","[0, 0, 2]",0,16.76376811594203,16.76376811594203,STOP,"{""STOP"": 16.76376811594203}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 1]","[0, 0, 1]",1,16.73223443223442,16.73223443223442,STOP,"{""STOP"": 16.73223443223442, ""p1"": 14.732234432234428, ""p2"": 13.732234432234428, ""pf"": -14.267765567765565}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 1]","[0, 0, 0]",2,16.700000000000006,16.700000000000006,STOP,"{""STOP"": 16.700000000000006, ""p1"": 14.700000000000005, ""p2"": 13.700000000000012, ""pf"": -14.300000000000008}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[0, 0, 3]",0,17.03118279569891,17.03118279569891,STOP,"{""STOP"": 17.03118279569891}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[0, 0, 2]",1,17.002898550724638,17.002898550724638,STOP,"{""STOP"": 17.002898550724638, ""p1"": 15.00289855072463, ""p2"": 14.002898550724648, ""pf"": -13.997101449275373}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[0, 0, 1]",2,16.97399267399267,16.97399267399267,STOP,"{""STOP"": 16.97399267399267, ""p1"": 14.973992673992663, ""p2"": 13.973992673992678, ""pf"": -14.026007326007328}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[1, 0, 0]","[0, 0, 0]",3,16.94444444444445,16.94444444444445,STOP,"{""STOP"": 16.94444444444445, ""p1"": 14.944444444444443, ""p2"": 13.944444444444452, ""pf"": -14.05555555555556}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[4, 0, 0]",0,17.042316784869982,17.042316784869982,STOP,"{""STOP"": 17.042316784869982}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 0]","[3, 0, 0]",0,16.801433691756266,16.801433691756266,STOP,"{""STOP"": 16.801433691756266}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[3, 1, 0]",0,17.062972153294737,17.062972153294737,STOP,"{""STOP"": 17.062972153294737}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 1]","[3, 0, 0]",0,16.790322580645153,16.790322580645153,STOP,"{""STOP"": 16.790322580645153}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[3, 0, 1]",0,17.064315254637833,17.064315254637833,STOP,"{""STOP"": 17.064315254637833}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[3, 0, 0]",1,17.0347670250896,17.0347670250896,STOP,"{""STOP"": 17.0347670250896, ""p1"": 15.03476702508961, ""p2"": 14.034767025089607, ""pf"": -13.9652329749104}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 2, 0]","[2, 0, 0]",0,16.560386473429936,16.560386473429936,STOP,"{""STOP"": 16.560386473429936}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 0]","[2, 1, 0]",0,16.82448903753251,16.82448903753251,STOP,"{""STOP"": 16.82448903753251}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 1]","[2, 0, 0]",0,16.54927536231886,16.54927536231886,STOP,"{""STOP"": 16.54927536231886}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 0]","[2, 0, 1]",0,16.82326803631151,16.82326803631151,STOP,"{""STOP"": 16.82326803631151}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 0]","[2, 0, 0]",1,16.793719806763274,16.793719806763274,STOP,"{""STOP"": 16.793719806763274, ""p1"": 14.793719806763281, ""p2"": 13.793719806763278, ""pf"": -14.206280193236715}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[2, 2, 0]",0,17.082850241545902,17.082850241545902,STOP,"{""STOP"": 17.082850241545902}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 1]","[2, 1, 0]",0,16.81081382385731,16.81081382385731,STOP,"{""STOP"": 16.81081382385731}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[2, 1, 1]",0,17.084806497849968,17.084806497849968,STOP,"{""STOP"": 17.084806497849968}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[2, 1, 0]",1,17.055258268301742,17.055258268301742,STOP,"{""STOP"": 17.055258268301742, ""p1"": 15.05525826830175, ""p2"": 14.055258268301754, ""pf"": -13.94474173169826}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 2]","[2, 0, 0]",0,16.538164251207718,16.538164251207718,STOP,"{""STOP"": 16.538164251207718}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 1]","[2, 0, 1]",0,16.814843127886597,16.814843127886597,STOP,"{""STOP"": 16.814843127886597}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 1]","[2, 0, 0]",1,16.78260869565218,16.78260869565218,STOP,"{""STOP"": 16.78260869565218, ""p1"": 14.782608695652167, ""p2"": 13.782608695652181, ""pf"": -14.217391304347833}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[2, 0, 2]",0,17.085507246376803,17.085507246376803,STOP,"{""STOP"": 17.085507246376803}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[2, 0, 1]",1,17.05660136964485,17.05660136964485,STOP,"{""STOP"": 17.05660136964485, ""p1"": 15.056601369644845, ""p2"": 14.05660136964484, ""pf"": -13.94339863035516}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[2, 0, 0]",2,17.027053140096605,17.027053140096605,STOP,"{""STOP"": 17.027053140096605, ""p1"": 15.027053140096612, ""p2"": 14.027053140096612, ""pf"": -13.97294685990338}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 3, 0]","[1, 0, 0]",0,16.319169719169707,16.319169719169707,STOP,"{""STOP"": 16.319169719169707}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 2, 0]","[1, 1, 0]",0,16.585836385836373,16.585836385836373,STOP,"{""STOP"": 16.585836385836373}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 2, 1]","[1, 0, 0]",0,16.308058608058623,16.308058608058623,STOP,"{""STOP"": 16.308058608058623}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 2, 0]","[1, 0, 1]",0,16.582051282051278,16.582051282051278,STOP,"{""STOP"": 16.582051282051278}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 2, 0]","[1, 0, 0]",1,16.552503052503056,16.552503052503056,STOP,"{""STOP"": 16.552503052503056, ""p1"": 14.55250305250304, ""p2"": 13.55250305250304, ""pf"": -14.44749694749695}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 0]","[1, 2, 0]",0,16.846705951053767,16.846705951053767,STOP,"{""STOP"": 16.846705951053767}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 1]","[1, 1, 0]",0,16.572161172161167,16.572161172161167,STOP,"{""STOP"": 16.572161172161167}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 0]","[1, 1, 1]",0,16.84615384615384,16.84615384615384,STOP,"{""STOP"": 16.84615384615384}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 0]","[1, 1, 0]",1,16.816605616605614,16.816605616605614,STOP,"{""STOP"": 16.816605616605614, ""p1"": 14.816605616605607, ""p2"": 13.816605616605607, ""pf"": -14.183394383394392}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 2]","[1, 0, 0]",0,16.296947496947503,16.296947496947503,STOP,"{""STOP"": 16.296947496947503}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 1]","[1, 0, 1]",0,16.573626373626375,16.573626373626375,STOP,"{""STOP"": 16.573626373626375}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 1]","[1, 0, 0]",1,16.541391941391943,16.541391941391943,STOP,"{""STOP"": 16.541391941391943, ""p1"": 14.541391941391959, ""p2"": 13.54139194139194, ""pf"": -14.458608058608057}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 0]","[1, 0, 2]",0,16.844290492116578,16.844290492116578,STOP,"{""STOP"": 16.844290492116578}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 0]","[1, 0, 1]",1,16.815384615384623,16.815384615384623,STOP,"{""STOP"": 16.815384615384623, ""p1"": 14.815384615384612, ""p2"": 13.815384615384609, ""pf"": -14.184615384615386}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 1, 0]","[1, 0, 0]",2,16.785836385836387,16.785836385836387,STOP,"{""STOP"": 16.785836385836387, ""p1"": 14.785836385836376, ""p2"": 13.785836385836385, ""pf"": -14.21416361416361}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[1, 3, 0]",0,17.101965418094434,17.101965418094434,STOP,"{""STOP"": 17.101965418094434}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 1]","[1, 2, 0]",0,16.830522376174564,16.830522376174564,STOP,"{""STOP"": 16.830522376174564}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[1, 2, 1]",0,17.104515050167226,17.104515050167226,STOP,"{""STOP"": 17.104515050167226}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[1, 2, 0]",1,17.074966820618997,17.074966820618997,STOP,"{""STOP"": 17.074966820618997, ""p1"": 15.074966820619002, ""p2"": 14.074966820618979, ""pf"": -13.925033179381002}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 2]","[1, 1, 0]",0,16.55848595848596,16.55848595848596,STOP,"{""STOP"": 16.55848595848596}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 1]","[1, 1, 1]",0,16.83516483516484,16.83516483516484,STOP,"{""STOP"": 16.83516483516484}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 1]","[1, 1, 0]",1,16.80293040293041,16.80293040293041,STOP,"{""STOP"": 16.80293040293041, ""p1"": 14.802930402930409, ""p2"": 13.802930402930414, ""pf"": -14.197069597069591}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[0, 0, 0]","[1, 1, 2]",0,17.10582895365505,17.10582895365505,STOP,"{""STOP"": 17.10582895365505}",1101,VALUE_INTEGRATION_CONVERGED,0.0
